                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.27876,                0.29951,                0.95415,                      1,               0.000802
                      1,                0.22819,                0.23435,                0.98244,                      1,               0.000604
                      2,                0.21077,                0.21604,                0.98927,                      1,               0.000406
                      3,                0.20648,                0.21988,                0.99122,                      1,               0.000208
                      4,                0.20275,                0.21226,                0.99122,                      1,                  1e-05
